Row,Col,Min,Max,Avg,Sum,Count
0,0,5,8,6,8421,1346
0,1,4,7,5,7189,1346
0,2,3,6,4,6633,1346
0,3,3,7,4,6305,1346
0,4,3,6,4,5817,1346
0,5,3,6,4,5453,1346
0,6,2,6,3,4981,1346
0,7,1,4,2,3528,1346
0,8,3,6,3,4612,1346
0,9,1,4,2,3238,1346
0,10,1,4,2,3027,1346
0,11,1,4,2,3325,1346
0,12,1,4,2,3201,1346
0,13,1,4,2,3283,1346
0,14,2,5,3,4166,1346
0,15,1,5,3,4900,1346
1,0,5,7,6,8729,1401
1,1,4,7,5,8294,1401
1,2,4,7,4,7000,1401
1,3,3,6,4,6387,1401
1,4,3,6,4,6008,1401
1,5,2,6,3,5593,1401
1,6,2,5,3,4899,1401
1,7,1,4,2,3603,1401
1,8,2,5,3,4774,1401
1,9,1,4,2,3386,1401
1,10,1,4,2,3075,1401
1,11,1,4,2,3426,1401
1,12,1,4,2,3212,1401
1,13,0,4,2,3165,1401
1,14,1,5,2,3630,1401
1,15,1,5,2,3299,1401
2,0,6,9,7,8983,1257
2,1,5,8,6,8030,1257
2,2,4,7,5,7314,1257
2,3,4,7,5,6952,1257
2,4,4,7,5,6985,1257
2,5,3,7,4,6195,1257
2,6,2,6,4,5360,1257
2,7,1,5,2,3512,1257
2,8,3,6,4,5638,1257
2,9,2,5,3,3855,1257
2,10,2,4,2,3595,1257
2,11,255,0,0,0,0
2,12,1,4,2,3630,1257
2,13,2,5,2,3461,1257
2,14,1,5,2,3763,1257
2,15,1,4,2,3165,1257
3,0,6,8,6,6766,1035
3,1,5,7,6,6276,1035
3,2,5,7,5,5837,1035
3,3,4,7,5,5815,1035
3,4,4,7,5,6107,1035
3,5,4,7,5,5354,1035
3,6,2,6,4,4548,1035
3,7,2,5,3,3252,1035
3,8,3,6,4,4456,1035
3,9,2,4,3,3166,1035
3,10,2,4,2,2777,1035
3,11,1,4,2,2695,1035
3,12,1,4,2,2707,1035
3,13,1,4,2,2484,1035
3,14,1,4,2,2727,1035
3,15,1,4,2,2299,1035
4,0,6,8,7,8467,1206
4,1,6,8,6,8043,1206
4,2,5,8,6,7775,1206
4,3,4,8,5,6778,1206
4,4,4,8,5,6527,1206
4,5,4,8,5,6274,1206
4,6,3,7,4,5886,1206
4,7,1,5,2,3391,1206
4,8,3,5,4,4840,1206
4,9,2,4,2,3291,1206
4,10,255,0,0,0,0
4,11,1,5,2,3018,1206
4,12,1,4,2,2679,1206
4,13,1,4,2,2560,1206
4,14,1,4,2,2840,1206
4,15,255,0,0,0,0
5,0,6,8,6,10026,1455
5,1,5,8,6,9526,1455
5,2,5,8,6,9244,1455
5,3,5,9,6,9563,1455
5,4,9,13,11,16009,1455
5,5,3,8,5,8077,1455
5,6,3,7,4,6578,1455
5,7,1,5,2,4178,1455
5,8,3,6,4,6271,1455
5,9,2,4,2,4040,1455
5,10,1,4,2,3384,1455
5,11,1,4,2,3396,1455
5,12,0,4,2,3144,1455
5,13,0,4,2,2965,1455
5,14,0,4,2,3186,1455
5,15,0,4,1,2236,1455
6,0,5,7,6,7609,1230
6,1,4,7,5,6672,1230
6,2,4,7,5,6726,1230
6,3,4,7,5,6494,1230
6,4,3,7,4,5703,1230
6,5,3,6,4,5048,1230
6,6,2,5,3,4867,1230
6,7,1,4,2,3052,1230
6,8,3,5,3,4447,1230
6,9,2,4,2,2747,1230
6,10,255,0,0,0,0
6,11,1,4,2,3098,1230
6,12,0,4,1,2457,1230
6,13,1,3,1,2313,1230
6,14,1,4,2,2500,1230
6,15,0,3,1,2269,1230
7,0,6,8,6,7694,1146
7,1,5,7,6,7177,1146
7,2,5,7,5,6589,1146
7,3,4,7,5,6256,1146
7,4,4,8,6,6902,1146
7,5,4,7,5,6369,1146
7,6,3,7,4,5284,1146
7,7,2,5,3,3896,1146
7,8,3,6,4,5370,1146
7,9,3,5,3,4203,1146
7,10,255,0,0,0,0
7,11,2,5,3,3579,1146
7,12,2,5,2,3415,1146
7,13,255,0,0,0,0
7,14,2,5,2,3270,1146
7,15,255,0,0,0,0
